price,num_bath,num_bed,num_parking,property_size,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,days_since_sale
435000,2,3,1,569,3360,29120,2.814,-33.23957,151.56058,3,2.0,155.2,76.65,3086
435000,2,4,3,556,3360,29120,2.814,-33.23957,151.56058,3,2.0,155.2,76.65,3086
960000,2,4,2,784,3977,49296,1.598,-34.00258,151.0648,42,2.0,155.2,20.31,3085
1400000,2,3,3,247,8116,52884,1.287,-33.89452,151.1556,41,2.0,155.2,5.99,3084
1059000,2,4,3,552,10737,33644,4.135,-33.8105,151.06162,40,2.0,155.2,15.0,3084
750000,1,3,0,540,5808,24700,1.815,-33.88742,151.0104,39,2.0,155.2,18.62,3084
575000,2,4,0,746,2545,36764,4.925,-33.49914,151.39045,27,2.0,155.2,43.91,3084
375000,1,2,1,465,4326,25480,11.434,-33.27889,151.43056,3,2.0,155.2,68.18,3084
2455000,2,4,2,915,1734,36296,1.359,-34.01833,151.12465,8,2.0,155.2,18.73,3083
2155000,2,4,2,605,1252,36816,0.63,-33.98679,151.11717,22,2.0,155.2,15.99,3083
1330000,2,3,1,929,7287,43472,6.123,-33.73636,151.07741,168,2.0,155.2,18.83,3083
910000,2,5,2,700,7965,45812,10.638,-33.67757,150.91278,45,2.0,155.2,34.5,3083
871000,2,3,2,563,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3083
1820000,2,4,2,835,2978,38428,3.19,-33.75738,151.18183,78,2.0,155.2,12.23,3080
1160000,1,3,1,242,3164,48204,0.642,-33.8953,151.14668,25,2.0,155.2,6.74,3080
1330000,1,3,0,234,8116,52884,1.287,-33.89452,151.1556,41,2.0,155.2,5.99,3079
840000,3,4,2,605,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3079
1865000,2,4,2,702,8609,35412,1.235,-33.86291,151.06711,22,2.0,155.2,13.21,3078
1080000,2,4,2,700,7965,45812,10.638,-33.67757,150.91278,45,2.0,155.2,34.5,3078
780000,2,3,2,570,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3078
860000,2,4,2,590,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3077
1580000,2,3,1,237,8116,52884,1.287,-33.89452,151.1556,41,2.0,155.2,5.99,3076
1510000,1,4,0,177,8116,52884,1.287,-33.89452,151.1556,41,2.0,155.2,5.99,3076
988000,1,2,2,575,3977,49296,1.598,-34.00258,151.0648,42,2.0,155.2,20.31,3076
985000,3,4,2,600,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3076
735500,2,4,1,585,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3076
1140000,3,5,2,700,7965,45812,10.638,-33.67757,150.91278,45,1.77,155.2,34.5,3063
746000,2,5,2,620,7193,40352,2.481,-34.05177,150.74372,98,1.77,155.2,47.8,3063
570000,1,3,2,633,11790,37024,5.06,-33.7734,150.69863,50,1.77,155.2,48.41,3063
522000,1,3,3,751,2545,36764,4.925,-33.49914,151.39045,27,1.77,155.2,43.91,3063
500000,2,3,2,848,4326,25480,11.434,-33.27889,151.43056,3,1.77,155.2,68.18,3063
397000,1,3,1,332,3360,29120,2.814,-33.23957,151.56058,3,1.77,155.2,76.65,3063
1675000,1,3,1,417,3342,59228,1.684,-33.8077,151.26552,79,1.77,155.2,8.19,3062
1475000,1,2,2,850,5298,48672,3.684,-33.76365,151.12999,80,1.77,155.2,13.47,3062
756000,2,3,2,572,9772,25376,3.096,-33.87884,150.87759,56,1.77,155.2,30.78,3062
597000,1,1,1,61,8116,52884,1.287,-33.89452,151.1556,41,1.77,155.2,5.99,3062
550000,2,3,2,696,8800,31980,3.734,-34.08405,150.81805,126,1.77,155.2,43.6,3061
1045000,3,4,2,664,2900,35932,2.768,-33.40857,151.46938,47,1.77,155.2,56.07,3060
1010000,1,2,1,81,10045,57356,0.865,-33.89314,151.26703,61,1.77,155.2,6.13,3060
851000,1,2,1,629,3977,49296,1.598,-34.00258,151.0648,42,1.77,155.2,20.31,3060
790000,2,4,2,450,4765,50336,13.744,-33.99074,150.74247,81,1.77,155.2,45.41,3059
630000,2,4,2,629,11790,37024,5.06,-33.7734,150.69863,50,1.77,155.2,48.41,3059
500000,2,4,2,563,3360,29120,2.814,-33.23957,151.56058,3,1.77,155.2,76.65,3059
390000,1,2,1,88,10126,23036,1.362,-33.9234,151.06765,39,1.77,155.2,14.66,3058
820000,2,4,2,540,4765,50336,13.744,-33.99074,150.74247,81,1.77,155.2,45.41,3057
1430000,1,2,1,90,1424,88816,0.386,-33.86505,151.25332,11,1.77,155.2,4.02,3056
1254000,1,3,2,638,3977,49296,1.598,-34.00258,151.0648,42,1.77,155.2,20.31,3056
785000,3,4,2,651,2900,35932,2.768,-33.40857,151.46938,47,1.77,155.2,56.07,3056
725000,1,4,3,568,9772,25376,3.096,-33.87884,150.87759,56,1.77,155.2,30.78,3056
700000,2,4,2,600,13451,27612,5.958,-33.76242,150.87007,44,1.77,155.2,33.46,3056
510000,1,2,1,721,2900,35932,2.768,-33.40857,151.46938,47,1.77,155.2,56.07,3056
1805000,3,5,2,413,10817,46800,3.211,-33.94907,151.19881,6,1.77,155.2,9.37,3055
1435000,2,3,1,556,6608,34008,1.776,-33.75,151.27239,83,1.77,155.2,14.02,3055
675000,2,4,2,400,4765,50336,13.744,-33.99074,150.74247,81,1.77,155.2,45.41,3053
