price,num_bed,num_bath,property_size,km_from_cbd,suburb_lng,suburb_lat,suburb_population,suburb_median_income,type
1580000,3,2,237,5.99,151.1556,-33.89452,8116,52884,3
1510000,4,1,177,5.99,151.1556,-33.89452,8116,52884,3
988000,2,1,575,20.31,151.0648,-34.00258,3977,49296,3
985000,4,3,600,30.17,150.88392,-33.86202,14585,25012,3
735500,4,2,585,30.17,150.88392,-33.86202,14585,25012,3
1140000,5,3,700,34.5,150.91278,-33.67757,7965,45812,3
746000,5,2,620,47.8,150.74372,-34.05177,7193,40352,3
570000,3,1,633,48.41,150.69863,-33.7734,11790,37024,3
522000,3,1,751,43.91,151.39045,-33.49914,2545,36764,3
500000,3,2,848,68.18,151.43056,-33.27889,4326,25480,3
397000,3,1,332,76.65,151.56058,-33.23957,3360,29120,3
1675000,3,1,417,8.19,151.26552,-33.8077,3342,59228,3
1475000,2,1,850,13.47,151.12999,-33.76365,5298,48672,3
756000,3,2,572,30.78,150.87759,-33.87884,9772,25376,3
597000,1,1,61,5.99,151.1556,-33.89452,8116,52884,0
550000,3,2,696,43.6,150.81805,-34.08405,8800,31980,3
1045000,4,3,664,56.07,151.46938,-33.40857,2900,35932,3
1010000,2,1,81,6.13,151.26703,-33.89314,10045,57356,0
851000,2,1,629,20.31,151.0648,-34.00258,3977,49296,3
790000,4,2,450,45.41,150.74247,-33.99074,4765,50336,3
630000,4,2,629,48.41,150.69863,-33.7734,11790,37024,3
500000,4,2,563,76.65,151.56058,-33.23957,3360,29120,3
390000,2,1,88,14.66,151.06765,-33.9234,10126,23036,0
820000,4,2,540,45.41,150.74247,-33.99074,4765,50336,3
1430000,2,1,90,4.02,151.25332,-33.86505,1424,88816,0
1254000,3,1,638,20.31,151.0648,-34.00258,3977,49296,3
785000,4,3,651,56.07,151.46938,-33.40857,2900,35932,3
725000,4,1,568,30.78,150.87759,-33.87884,9772,25376,3
700000,4,2,600,33.46,150.87007,-33.76242,13451,27612,3
510000,2,1,721,56.07,151.46938,-33.40857,2900,35932,3
1805000,5,3,413,9.37,151.19881,-33.94907,10817,46800,3
1435000,3,2,556,14.02,151.27239,-33.75,6608,34008,3
675000,4,2,400,45.41,150.74247,-33.99074,4765,50336,3
570000,3,2,538,43.91,151.39045,-33.49914,2545,36764,3
1450000,3,1,468,9.37,151.19881,-33.94907,10817,46800,3
1250000,4,1,676,18.83,151.07741,-33.73636,7287,43472,3
1120000,3,1,1208,29.97,150.89729,-33.93623,9311,22724,3
970000,4,2,465,33.2,150.90622,-33.70612,11731,53716,3
825000,4,2,544,45.41,150.74247,-33.99074,4765,50336,3
1900000,4,3,565,16.01,151.08475,-33.96482,12786,34684,3
1880080,4,2,765,8.8,151.21481,-33.78592,2554,50856,3
1605500,3,2,836,11.02,151.18832,-33.76741,3711,47788,3
1250000,5,2,593,33.2,150.90622,-33.70612,11731,53716,3
820000,3,1,651,38.24,150.8136,-33.76791,16726,26000,3
700000,4,1,645,36.04,150.8581,-34.0051,15039,33124,3
576000,4,1,645,48.41,150.69863,-33.7734,11790,37024,3
1785000,3,1,670,10.51,151.10602,-33.8268,4107,44876,3
1650000,3,2,556,14.34,151.08514,-33.78849,17865,30368,3
1633000,4,3,864,12.23,151.18183,-33.75738,2978,38428,3
1620000,4,2,613,14.02,151.27239,-33.75,6608,34008,3
1070000,6,3,758,24.84,150.94148,-33.86713,7517,20696,3
2650000,3,2,436,7.83,151.16476,-33.92488,3556,41600,3
1855000,4,2,443,6.33,151.14202,-33.85841,5001,47684,3
1650000,5,2,117,1.87,151.22078,-33.8794,11320,66820,3
925000,4,2,295,33.2,150.90622,-33.70612,11731,53716,5
838500,3,2,300,34.5,150.91278,-33.67757,7965,45812,3
695000,5,2,556,36.04,150.8581,-34.0051,15039,33124,3
955000,5,2,571,34.5,150.91278,-33.67757,7965,45812,3
440000,3,1,92,36.04,150.8581,-34.0051,15039,33124,11
935000,5,3,500,32.83,150.88065,-33.75523,6440,40768,3
4000000,3,1,1163,7.99,151.16111,-33.8057,11436,57408,3
2650000,4,2,400,6.13,151.26703,-33.89314,10045,57356,3
